Question Prompt,Possible Answers,Difficulty(1-5),Category,Source,Image URL,Audio URL
"In dragon ball, super saiyans have levels associated with them. This image represents this super saiyan level. ",What is super saiyan 2?,1,Old but gold,Dragon Ball,https://vignette.wikia.nocookie.net/dragonball/images/5/5e/GohanSuperSaiyanIINV.png/revision/latest?cb=20100506144945,
Is the name of this character. ,Who is Sailor jupiter?,2,Old but gold,Sailor Moon,https://upload.wikimedia.org/wikipedia/en/d/d8/Sailor_Jupter_01.jpg,
"The origin of the text: ""See you space cowboy""",What is cowboy bebop?,3,Old but gold,Cowboy bepop,,
"The popular quote ""Omae wa mo shinderu"" comes from this story.",What is fist of the north star?,4,Old but gold,Fist of the North Star,,
"The name of the fourth arc in Berserk, where Guts and his comrades dealing with the aftermath of Griffith's incarnation.",What is the Millennium Falcon Arc?,5,Old but gold,Berserk,,
This ghibli movie was the first and only hand drawn non-English film to win Best Animated Film at the Academy Awards.,What is spirited away?,1,Ghibli,Spirited away,,
This image is from this ghibli film.,What is Howl's moving castle?,2,Ghibli,Howls moving castle,https://www.dia.org/sites/default/files/styles/events_main/public/howl-2.jpg?itok=cVUip4u1,
"Despite its current popularity, my neighbour totoro did not perform very well in the box office. It might be attributed in part to the depressing content of this movie, that was released alongside it.",What is grave of the fireflies?,3,Ghibli,Grave of the fireflies,,
the title of the Ghibli movie that includes the following soundtrack ,What is castle in the sky?,4,Ghibli,Castle in the sky,,
This Ghibli film is about a witch who moves to a new town and uses her flying ability to earn a living.,What is Kikis delivery service?,5,Ghibli,Kikis delivery service,,
The name of the goddess that summons the main character in the overly cautious hero.,Who is Rista?,1,Power Overwhelming,Overly cautious hero,,
"In this Korean webtoon, the main character summons shadow soldiers to fight for him as well as help him clear dungeons.",What is Solo leveling?,2,Power Overwhelming,Solo leveling,,
"This story about a girl called Maple, who maxes her defense stat in a video game because of her fear of pain.",What is Bofuri?,3,Power Overwhelming,Bofuri,,
This story happens in a world where magic users cast spells with a Casting Assistant Device (CAD).,What is the Irregular at Magic High School?,4,Power Overwhelming,Irregular at Magic High School,,
This gag manga is about a level 99 human hero who signs up to be the next demon king.,What is helck?,5,Power Overwhelming,Helck,,
"Originally a survival horror video game made in RPG maker, this story is about escaping a haunted school.",What is Corpse party?,1,Send shivers down your spine,corpse party,,
He is the person depicted in this image. ,Who is kaneki/Haise?,2,Send shivers down your spine,tokyo ghoul,,
"In Japanese, its name means ""right"" since this parasitic alien is attached to the MCs right hand. ",What is Migi?,3,Send shivers down your spine,parasyte,,
This dark story about a Diclonius species who is experimented on by humans is written by Lynn Okamoto.,What is Elfen lied?,4,Send shivers down your spine,elfen lied,,
This story about is about a transfer student who finds himself in a mystery revolving around students  facing gruesome and senseless deaths.,What is Another?,5,Send shivers down your spine,another,,
"The ""Hunger games"" is very similar to this manga about junior high students forced to fight each other to the death.",What is battle royale?,1,We don't talk about the netflix adaptation,Battle royale,,
"The movie ""Edge of tomorrow which is about an alien-fighting soldier trapped in a time loop, is based off this story.",What is All you need is kill?,2,We don't talk about the netflix adaptation,All you need is kill,,
"The recent cyberpunk-action movie ""Alita: Battle angel "" is based on this story.",What is Gunm/battle angel alita/gun dream?,3,We don't talk about the netflix adaptation,Gunnm ,,
The 2017 american science action film starring Scarlett Johansson is adapted from this story with the same name.,What is Ghost in the Shell.,4,We don't talk about the netflix adaptation,Ghost in the shell,,
"Light’s last name in the Netflix adaptation of Death Note, instead of Yagami.",What is Turner?,5,We don't talk about the netflix adaptation,Death note,,
"This rom-com story is about a boy named Keita who joins his school's gaming club for fun, but is surprised the club is focused on competitive gaming.",What is Gamers?,1,gamers rise up,Gamers!,,
This is about a young boy and girl who are extremely passionate about old-school arcade style fighting games.,What is high score girl?,2,gamers rise up,High score girl,,
The show this character is from:,What is Accel world?,3,gamers rise up,accel world,,
Yugi Muto is to Seto Kaiba as Yusei Fudo is to ____,Who is Jack Atlas? ,4,gamers rise up,Yugioh,,
This Korean webtoon is about a high school student who gets an ability that allows him to treat the world around him like a video game.,What is The Gamer?,5,gamers rise up,The gamer,,
The show this song is from,What is bakemonogatari?,1,I always skip the opening,Bakemonogatari,,https://drive.google.com/file/d/1AJrcUw_k4GhCgTRy6ccOWLO5OsW8nFnr/view?usp=sharing
The show this song is from,What is Sakamoto?,2,I always skip the opening,Sakamoto desu ga,,https://drive.google.com/file/d/1AJrcUw_k4GhCgTRy6ccOWLO5OsW8nFnr/view?usp=sharing
The show this song is from,What is Blend S?,3,I always skip the opening,Blend S,,https://drive.google.com/file/d/1AJrcUw_k4GhCgTRy6ccOWLO5OsW8nFnr/view?usp=sharing
The show this song is from,What is code geass?,4,I always skip the opening,Code geass,,https://drive.google.com/file/d/1AJrcUw_k4GhCgTRy6ccOWLO5OsW8nFnr/view?usp=sharing
The show this song is from,What is made in abyss?,5,I always skip the opening,made in abyss,,https://drive.google.com/file/d/1AJrcUw_k4GhCgTRy6ccOWLO5OsW8nFnr/view?usp=sharing
"The opening of this show is called ""History maker"".",What is Yuri on ice?,1,sports,Yuri on ice,,
"This basketball player from kuroko no Basket works as a model, and has the power of copying the techniques of his opponents",Who is Ryota Kise?,2,sports,Kuroko no basket,,
"One of the best selling manga series in history, this manga is about a delinquent who joins a basketball team.",What is slam dunk?,3,sports,Slam dunk,,
This long running series is about a bullied high school student who learns boxing.,What is Hajime no ippo?,4,sports,Hajime no ippo,,
This show is often criticized for its avant garde animation style and is centered around two friends who enjoy table tennis.,What is ping pong the animation?,5,sports,ping pong the animation,,
These characters are from this show.,What is yuru yuri?,1,CGDCT,Yuru Yuri,,
"In Lucky Star, the main blue haired character is called this.","Who is Izumi, Konata?",2,CGDCT,Lucky star,,
This strange character is from this story.,What is Azumanga Daioh?,3,CGDCT,Azumanga daioh,,
This story is about four high school girls who are part of a light music club.,What is K-on?,4,CGDCT,K-on,,
These characters work for a company that create this product,What are video games?,5,CGDCT,New game,,
This comedy/romance story is about a cheery girl Hori who becomes friends with a brooding otaku looking boy called Miyamura.,What is horimiya?,1,Inject the fluff into my veins,Horimiya,,
"This story is about a beautiful doll like woman who works as an ""Auto memory doll"" and goes on a journey in self-discovery.",What is violet Evergarden?,2,Inject the fluff into my veins,Violet evergarden ,,
